站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-06-21 08,4.20,0.190,0.125,105.6,6.88,7.54,--,III,Ⅴ,-,2020-06-21 11:05:03
黄龙溪,府河,2020-06-21 12,4.00,0.240,0.118,116.3,6.75,7.51,--,III,Ⅴ,-,2020-06-21 15:05:02
黄龙溪,府河,2020-06-21 16,4.20,0.240,0.122,108.6,6.80,7.50,--,III,Ⅴ,-,2020-06-21 19:05:03
黄龙溪,府河,2020-06-21 20,4.20,0.360,0.127,118.4,6.30,7.45,--,III,Ⅴ,-,2020-06-21 23:05:01
黄龙溪,府河,2020-06-22 00,4.40,0.270,0.122,104.4,6.52,7.44,--,III,Ⅴ,-,2020-06-22 03:05:02
黄龙溪,府河,2020-06-22 04,4.20,0.280,0.119,93.7,6.54,7.44,--,III,Ⅴ,-,2020-06-22 07:05:02
黄龙溪,府河,2020-06-22 12,3.90,0.420,0.132,110.5,6.12,7.41,--,III,Ⅴ,-,2020-06-22 15:05:02
黄龙溪,府河,2020-06-22 16,4.20,0.420,0.133,87.9,6.39,7.39,--,III,Ⅴ,-,2020-06-22 19:05:03
黄龙溪,府河,2020-06-22 20,4.30,0.460,0.146,84.5,6.13,7.39,--,III,Ⅴ,-,2020-06-22 23:05:02
黄龙溪,府河,2020-06-23 00,4.70,0.320,0.139,80.3,6.76,7.44,--,III,Ⅴ,-,2020-06-23 03:05:02
